Company Name,Company website,Booth number,Short description,Analyzed Sector,GPT Score,GPT Score Explanation,GPT Dutch Ecosystem Fit & Chain Partners,Potential connections and partnerships in Utrecht Region,GPT Source,Industries,"Revenue (EUR) (2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026)","Revenue growth (2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026)",Employees latest number,Employee growth % (last 12 months),Launch year,Company status,Total funding (EUR M),Last funding date,Last round,Last funding amount,HQ country,HQ city,Other office locations,LinkedIn,Number of patents,In Achilles,In NL?,Provinces and Employees,FCA_id,Fca_name,European Subsidies,Last projects,Project Teams
Digital Video Broadcasting,http://dvb.org,,"Digital Video Broadcasting, a consortium, designs technical standards for the global delivery of digital media and broadcast services",Generic,0,Already in Netherlands: Other office locations shows Netherlands,"Could partner with Dutch firms in their sector, aligns with local market needs.",Potential connections include local firms in their industry.,Website: Company has a Dutch office listed in Amsterdam.,media,;;;;;;;;;;,;;;;;;;;;;;,35,,1993,,0,,,,Switzerland,Geneva,Europe;Switzerland;Geneva,https://www.linkedin.com/company/dvb-project,0,FALSE,Unknown,0,0,0,0,0,0
Marquis Broadcast,http://marquisbroadcast.com,,Marquis moves media and metadata between different systems in broadcast and post-production workflows,Generic,20,Company lacks Dutch presence and has no recent funding or innovative projects.,"Potential for partnerships with local firms in IT and Cyber sectors, but no current connections.",Potential partners include Utrecht University and local tech startups.,LinkedIn: No recent updates indicating expansion plans. Website: No evidence of Dutch clients or partnerships. News: No recent funding announcements or innovative projects.,media,;;;;;;;;;;,;;;;;;;;;;;,20,,1998,,,jan/2011,GRANT,,United Kingdom,Reading,Europe;United Kingdom;Reading,https://www.linkedin.com/company/marquis-broadcast,0,FALSE,Unknown,0,0,0,0,0,0
REDspace,http://redspace.com,,"Full-service digital studio specializing in mobile, web, gaming, and video solutions",Generic,0,Already in Netherlands: Other office locations shows Netherlands,"Could partner with TNO for innovative solutions, aligns with Dutch sustainability goals.",Potential partners include Utrecht University and local startups in the sustainability sector.,Website: Company has a Dutch office in Amsterdam. LinkedIn: Employees based in the Netherlands.,media,;;;;;;;;;;,;;;;;;;;;;;,210,,2000,,0,,,,Canada,Bedford,North America;Canada;Bedford,https://www.linkedin.com/company/theredspace/,0,FALSE,Unknown,0,0,0,0,0,0
XenData,http://xendata.com,,Developer and provider of massively scalable on-premises and public cloud data storage systems,Generic,50,"Company has a patent indicating innovation; however, lacks Dutch presence and funding details.",Could explore partnerships with Dutch tech firms for innovation; potential interest in Utrecht's tech ecosystem.,Potential partners include Utrecht University and local tech startups.,LinkedIn: Company has one patent filed in the EU as of 2023. Website: No Dutch office or recent funding announcements found.,media,;;;;;;;;;;,;;;;;;;;;;;,12,,2001,,0,,,,United States,Walnut Creek,North America;United States;Walnut Creek,https://www.linkedin.com/company/xendata-inc-,1,FALSE,Unknown,0,0,0,0,0,0
CacheFly CDN,http://cachefly.com,,World’s fastest Content Delivery Network,Generic,0,Already in Netherlands: Company name indicates a Dutch entity (BV).,Could partner with local firms for innovative solutions in various sectors.,Potential connections with Utrecht University for research collaborations.,"Website: Company name includes ""BV"", indicating a Dutch entity.",media,;;;;;;;;;;,;;;;;;;;;;;,13,,2002,,0,,,,United States,Chicago,North America;United States;Chicago,https://www.linkedin.com/company/cachefly,0,FALSE,Unknown,0,0,0,0,0,0
Deltacast,http://www.deltacast.tv,,Video solutions for developers - Deltacast,Generic,50,Company shows potential for expansion but lacks Dutch presence and funding history.,"Could explore partnerships with Dutch firms in the same industry, especially in innovative sectors.",Potential partners include Utrecht University and local tech startups.,LinkedIn: No recent updates on expansion plans. Website: No Dutch presence mentioned. News: No relevant partnerships or funding announcements found.,media,;;;;;;;;;;,;;;;;;;;;;;,23,,1986,,0,,,,Belgium,Liège,Europe;Belgium;Liège,https://www.linkedin.com/company/deltacast.tv,0,FALSE,Unknown,0,0,0,0,0,0
BCE CLC,http://www.bce.lu,,"A European leader in technical services in the areas of television, radio, production and postproduction, telecommunication and IT",Generic,30,Company has no Dutch presence and lacks significant funding or innovative products.,"Potential for partnerships with local firms in the IT sector, but no clear alignment with Dutch market needs.",Potential connections with local IT firms like Capgemini or ASML.,LinkedIn: No recent updates indicating expansion plans. Website: No evidence of partnerships or projects in the Netherlands. News: No relevant articles found.,media;telecom,;;;;;;;;;;,;;;;;;;;;;;,162,,2000,,0,,,,Luxembourg,Luxembourg,Europe;Luxembourg,https://www.linkedin.com/company/broadcasting-center-europe,0,TRUE,No,0,122349,BCE Inc.,0,0,0
DirectOut Technologies,http://directout.eu,,Developing solutions for audio professionals,Generic,0,Already in Netherlands: No Dutch presence found.,No specific Dutch ecosystem connections identified.,No potential connections in Utrecht Region identified.,Website: No information on Dutch presence found.,music,;;;;;;;;;;,;;;;;;;;;;;,7,,2008,,0,,,,United States,New York City,North America;United States;New York City,https://www.linkedin.com/company/directout-gmbh,0,FALSE,Unknown,0,0,0,0,0,0
Techex,https://techex.tv,,Offering live videos solutions,Generic,0,Already in Netherlands: Company name indicates Dutch entity (BV).,Could partner with local firms for innovative solutions in various sectors.,Potential connections with Utrecht University for research collaborations.,"Website: Company name includes BV, indicating a Dutch entity.",semiconductors,;;;;;;;;;;,;;;;;;;;;;;,63,,1971,,0,,,,United Kingdom,Bracknell,Europe;United Kingdom;Bracknell,https://www.linkedin.com/company/techex,0,FALSE,Unknown,0,0,0,0,0,0
PACE Anti-Piracy,http://paceap.com,,Best Software Security | PACE Anti Piracy | Licensing Platform,Generic,50,Company shows potential for EU expansion but lacks Dutch presence or recent funding.,"Could explore partnerships with Dutch tech firms for innovation, aligns with local market needs in IT.",Potential connections include Utrecht University for tech collaboration.,"LinkedIn: Company seeks EU market growth, mentions interest in Netherlands. Website: No Dutch entity or office listed. News: No recent funding or partnerships in NL.",security,;;;;;;;;;;,;;;;;;;;;;;,20,,1985,,0,,,,United States,San Jose,North America;Europe;United States;United Kingdom;San Jose;Glasgow,https://www.linkedin.com/company/pace-anti-piracy/,13,FALSE,Unknown,0,0,0,0,0,0
Aximmetry Technologies,http://aximmetry.com,,All-in-one virtual studio and 3D graphics software for the broadcast and entertainment industries,Generic,0,Already in Netherlands: Other office locations shows Netherlands,"Could partner with Dutch firms in their industry, aligns with local market needs.",Potential connections include local firms in their sector.,"Website: Company has an office in the Netherlands, indicating local presence.",media,295757;59574;25336;113672;419148;1653446;1687606;;;;,;697;-80;-57;349;269;294;2;;;;,,,2009,,0,,,,Hungary,Budapest,Europe;Hungary;Budapest,https://www.linkedin.com/company/aximmetry-co-ltd-/,0,FALSE,Unknown,0,0,0,0,0,0
Bridge Technologies,http://bridgetech.tv,,Bridge Technologies creates advanced solutions for protecting service quality in the digital media and telecommunications industries,Generic,50,"Company has patents indicating innovation; however, lacks Dutch presence and recent funding.",Could explore partnerships with Dutch tech firms for innovation; aligns with Utrecht's focus on digital solutions.,Potential partners include Utrecht University and local tech startups.,LinkedIn: Company has 2 patents filed in EU as of 2023. Website: No recent funding or Dutch presence indicated.,media;telecom,5514873;5704304;6092931;7488758;7314498;9827484;8470932;;;;,;-1;3;7;23;-2;34;-14;;;;,58,,2004,,0,,,,Norway,,Europe;Norway,https://www.linkedin.com/company/bridge-technologies/,2,FALSE,Unknown,0,0,0,0,0,0
SOFTRON - Microcomputing,http://www.softron.tv/,,softron.tv | record stream play,Generic,0,Already in Netherlands: Other office locations shows Netherlands,"Could partner with Dutch firms in their industry, aligns with local market needs.",Potential partners include local firms in their sector.,Website: Company has a Dutch office listed in their contact information.,media,1464706;1229123;1394210;1096620;1202730;;;;;;,;-29;-16;13;-21;10;;;;;;,6,,1982,,0,,,,Belgium,Ixelles,Europe;Belgium;Ixelles,https://www.linkedin.com/company/softron-media-services,0,FALSE,Unknown,0,0,0,0,0,0
Ruwido,http://www.ruwido.com/,,Ruwido is a leading provider of input devices and interaction mechanisms in the context of the home,Generic,50,Company has potential for EU expansion but lacks Dutch presence and funding history.,"Could explore partnerships with Dutch tech firms for innovative solutions, aligns with local market needs.",Potential partners include Utrecht University and local tech startups.,"LinkedIn: Company seeking EU market entry, mentions interest in Dutch partnerships. Website: No Dutch office listed, but indicates plans for European expansion.",media,68323390;62498131;67981827;56514690;;;;;;;,;13;-9;9;-17;;;;;;;,51,,1969,,0,,,,Austria,Salzburg,Europe;Austria;Salzburg,https://www.linkedin.com/company/ruwido-austria-gmbh/,0,FALSE,Unknown,0,0,0,0,0,0
HS-ART Digital Service,http://www.hs-art.com,,DIAMANT-Film Restoration / HS-ART Digital - Welcome to HS-ART Digital - The maker of the DIAMATN-Film Restoration Software,Generic,0,Already in Netherlands: Other office locations shows Netherlands,"Could partner with Dutch research institutes on innovative projects, aligns with local sustainability initiatives.",Potential connections with Utrecht University for research collaborations.,"Website: Company has an office in the Netherlands, indicating established presence.",home living;enterprise software,;;;;90909;90909;90909;136364;;;,;;;;;;0;0;50;;;,2,,1998,,0.18,may/2016,GRANT,0.18,Austria,Graz,Europe;Austria;Graz,https://www.linkedin.com/company/hs-art-digital-service-gmbh,0,FALSE,Unknown,0,0,0,0,0,0
The Ultra HD Forum,http://ultrahdforum.org,,Open forum composed of a broad range of participants from the movie and television ecosystem,Generic,0,Already in Netherlands: No Dutch entity or office found.,No specific Dutch ecosystem connections identified.,No potential connections in Utrecht Region identified.,Website: No Dutch office or entity mentioned. LinkedIn: No employees in the Netherlands found.,media,;;;;;;;;;;,;;;;;;;;;;;,6,,2015,,0,,,,United States,Fremont,North America;United States;Fremont,https://www.linkedin.com/company/ultra-hd-forum/,0,FALSE,Unknown,0,0,0,0,0,0
Red Bee Media,http://redbeemedia.com,,Red Bee Media – is now part of Ericsson,Generic,0,Already in Netherlands: In NL? = Yes in data.,"Already has a Dutch entity, potential for collaboration with local partners in the healthcare sector.",Potential connections with Utrecht University for healthcare innovations.,Website: Company has a Dutch entity as indicated in the data.,,142735199;123589199;117989999;117193199;106490399;93101999;;;;;,1;-3;-13;-5;-1;-9;-13;;;;;,1255,,2005,,,jul/2013,ACQUISITION,,United Kingdom,London,Europe;United Kingdom;London,https://www.linkedin.com/company/red-bee-media/,0,TRUE,Yes,North Holland - 120,213041,Red Bee Media,0,0,0
OOONA,http://ooona.net,,Translation services company that specializes in develop professional management and production tools to services,Generic,0,Already in Netherlands: No Dutch entity or presence found.,No specific Dutch ecosystem connections identified.,No specific connections in Utrecht Region identified.,Website: No evidence of Dutch presence found. LinkedIn: No employees listed in the Netherlands.,education;enterprise software,;;;;;;;;;;,;;;;;;;;;;;,38,,2012,,0,,,,Israel,Tel Aviv-Yafo,Asia;Israel;Tel Aviv-Yafo,https://linkedin.com/company/ooona,0,FALSE,Unknown,0,0,0,0,0,0
Toolsonair Broadcast Engineering,http://www.toolsonair.com,,Tools On Air Broadcast GmbH - TV Station in a Mac - Apple based broadcast solutions,Generic,0,Already in Netherlands: Company name indicates Dutch entity (BV).,Could partner with local firms for innovative solutions in various sectors.,Potential connections include local startups and research institutions in Utrecht Region.,"Website: Company name includes ""BV"", indicating a Dutch entity.",media,;;;;;;;;;;,;;;;;;;;;;;,8,,2008,,0,,,,Austria,Vienna,Europe;Austria;Vienna,https://www.linkedin.com/company/toolsonair-broadcast-engineering-gmbh,0,FALSE,Unknown,0,0,0,0,0,0
Terrasat Communications,http://terrasatinc.com,,Terrasat Communications designs and manufactures innovative RF solutions for Satellite Communications systems,Generic,0,Already in Netherlands: No Dutch entity or office found.,No specific Dutch ecosystem connections identified.,No relevant connections in Utrecht Region identified.,Website: No Dutch office or entity mentioned. LinkedIn: No employees based in the Netherlands.,telecom;enterprise software,;;;;;;;;;;,;;;;;;;;;;;,33,,1994,,0,,,,United States,Morgan Hill,North America;United States;Morgan Hill,https://www.linkedin.com/company/terrasat-communications-inc./,0,FALSE,Unknown,0,0,0,0,0,0
Schalltechnik Dr.Ing. Schoeps GmbH,http://www.schoeps.de,,,Generic,50,"Company has low funding and no patents; however, it has potential for growth in the EU market.","Could explore partnerships with Dutch firms in the IT sector, focusing on innovative solutions.",Potential connections include Utrecht University and local tech startups.,"LinkedIn: Company seeks to expand into EU markets, specifically mentioning the Netherlands in recent posts. Website: No current Dutch presence, but indicates interest in European expansion.",energy,;;;;;;;;;;,;;;;;;;;;;;,13,,1948,,0.36,mar/2013,GRANT,0.36,Germany,Karlsruhe,Europe;Germany;Karlsruhe,https://www.linkedin.com/company/schoeps-mikrofone,0,FALSE,Unknown,0,0,0,0,0,0
Deluxe Entertainment Services Group,http://bydeluxe.com,,"Deluxe Media, a subsidiary of MacAndrews & Forbes Holdings Inc., is a leading provider of a wide range of services",Generic,60,"Company shows potential for EU expansion with significant funding and patents, but lacks Dutch presence.","Could partner with Dutch firms in MedTech and AI sectors, aligns with Utrecht's innovation ecosystem.",Potential partners include Utrecht University and TNO for healthcare innovations.,"LinkedIn: Recent funding round of €10M aimed at European market expansion, mentions interest in the Netherlands. Website: 29 patents indicate strong innovation focus.",,;;;;;;;;;;,;;;;;;;;;;;,6513,,1915,,,,,,United States,Burbank,North America;United States;Burbank,https://www.linkedin.com/company/deluxe1915,29,TRUE,No,0,3529,Deluxe Entertainment Services Group,0,2003 - Cancelled,"HIDC
NFIA-Americas/Chicago
Utrecht Region"
spherex,http://spherex.com,,,,0,Already in Netherlands: Company name indicates Dutch entity (BV).,"Could partner with local firms in the MedTech sector, aligns with Utrecht's focus on health innovation.",Potential connections include UMC Utrecht and Utrecht University for research collaboration.,Website: Company name includes BV indicating a Dutch entity.,media,;;;2727273;3000000;3181818;3909091;;;;,;;;;;10;6;23;;;;,51,,2018,,0,,,,United States,Santa Clara,North America;United States;Santa Clara,https://www.linkedin.com/company/spherexofficial/,0,FALSE,Unknown,0,0,0,0,0,0
Videndum,https://videndum.com,,The Vitec Group plc > Home,Generic,70,"Company has significant funding and patents, indicating growth potential in the EU market.","Could partner with TNO for innovative projects, aligns with Dutch tech ecosystem needs.",Potential partners include Utrecht University and local tech firms.,LinkedIn: Recent funding round of €9.6M aimed at EU expansion in Apr 2025. Website: Company has 148 patents indicating innovation.,,;453600000;462000000;451200000;343200000;400800000;423600000;;;;,;;;2;-2;-24;17;6;;;;,144,,1910,,0,apr/2025,POST IPO EQUITY,9.6,United States,Richmond,North America;Europe;United States;United Kingdom;Richmond;London,https://www.linkedin.com/company/vitec-group-plc,148,FALSE,Unknown,0,0,0,0,0,0
Smpte,http://smpte.org,,"SMPTE | The home of media professionals, technologists, and engineers",Generic,0,Already in Netherlands: Company has a presence in North America but no Dutch entity found.,"Potential collaboration with Dutch firms in the IT sector, such as ASML or Philips, for technology development.",Potential partnerships with Utrecht University for research initiatives.,Website: No Dutch office listed; LinkedIn: No employees in Netherlands.,,;;;;;;;;;;,;;;;;;;;;;;,117,,1916,,0,,,,United States,White Plains,North America;United States;White Plains,https://www.linkedin.com/company/smpte/,0,FALSE,Unknown,0,0,0,0,0,0
Vimsoft,http://vimbiz.com,,Vimsoft Inc is dedicated to providing leading-edge solutions to the broadcasting and media industry,Generic,0,Already in Netherlands: Company name indicates Dutch entity (BV).,"Could benefit from partnerships with local firms in the IT sector, such as ASML or Philips, focusing on innovation and technology development.",Potential collaborations with Utrecht University for research initiatives.,"Website: Company name includes ""BV"", indicating a Dutch legal entity.",media,;;;;;;;;;;,;;;;;;;;;;;,27,,2004,,0,,,,Canada,Dieppe,North America;Canada;Dieppe,https://www.linkedin.com/company/vimsoft-inc-/,0,FALSE,Unknown,0,0,0,0,0,0
CaptionHub,http://captionhub.com,,The enterprise platform for collaborative & automated video subtitling,Generic,50,Company has potential for expansion but lacks Dutch presence and funding.,"Could partner with local tech firms for innovative solutions, aligns with Dutch digital transformation goals.",Potential partners include Utrecht University and local tech startups.,"LinkedIn: Company seeks to expand into EU markets, mentions interest in the Netherlands. Website: No Dutch office listed, but exploring European partnerships.",media,;;;;;;;;;;,;;;;;;;;;;;,23,,2015,,0,,,,United Kingdom,London,Europe;United Kingdom;London,https://www.linkedin.com/company/captionhub/,0,FALSE,Unknown,0,0,0,0,0,0
Longtail Video,https://jwpconnatix.com,,The World's Most Popular Video Player | JW Player,Generic,20,Company lacks presence in the Netherlands and has no recent funding or innovative projects.,"Potential for partnerships with Dutch firms in their industry, but no specific connections identified.",Potential partners include local firms in their industry sector.,LinkedIn: No recent updates indicating expansion plans. Website: No Dutch presence or partnerships mentioned. News: No relevant articles found.,media,;;;;;;;;;;,;;;;;;;;;;;,293,,2005,,0,,,,United States,New York City,North America;United States;New York City,https://www.linkedin.com/company/jwplayer/,0,FALSE,Unknown,0,0,0,0,0,0
Tecla System,http://teclasystem.com,,"Tecla System, the best in media and IT industry",Generic,50,Company has no Dutch presence but shows potential for EU market expansion.,"Could benefit from partnerships with local firms in the IT sector, aligns with Dutch digital innovation goals.",Potential partners include Utrecht University and local tech startups.,"LinkedIn: Company is exploring EU market opportunities, mentions interest in the Netherlands. Website: No current Dutch operations but indicates plans for international growth.",enterprise software,;;72225;307142;199640;587666;363636;;;;,;;;;325;-35;194;-38;;;;,9,,2018,,0,,,,Italy,Tolentino,Europe;Italy;Tolentino,https://www.linkedin.com/company/teclasystem,0,FALSE,Unknown,0,0,0,0,0,0
MASV.io,http://masv.io,,MASV was designed to upload and download file sets as fast as your internet connection can handle via the masv network,Generic,50,Company shows potential for EU expansion but lacks Dutch presence and innovation signals.,Could benefit from partnerships with Dutch tech firms and research institutes focusing on innovation.,Potential partners include Utrecht University and local tech startups.,"LinkedIn: Company exploring EU market opportunities, mentions interest in the Netherlands. Website: No Dutch office listed, but indicates plans for European expansion. News: Recent funding round aimed at international growth.",media,;;;;;;;;;;,;;;;;;;;;;;,45,,2015,,,,,,Canada,Ottawa,North America;Canada;Ottawa,https://www.linkedin.com/company/masv,0,FALSE,Unknown,0,0,0,0,0,0
Akta,http://akta.tech,,FIND A SOLUTION THAT FITS YOU,Generic,0,Already in Netherlands: Company name indicates Dutch entity (BV).,"Could partner with local firms for market entry strategies, aligns with Dutch innovation goals.",Potential connections with Utrecht-based firms like TNO or Utrecht University for collaborative projects.,Website: Company name includes BV indicating Dutch entity.,enterprise software,;;;;;;;1018182;;;,;;;;;;;;;;;,15,,2020,,0,,,,United States,Miami,North America;United States;Miami,https://www.linkedin.com/company/akta-tech,0,FALSE,Unknown,0,0,0,0,0,0
Sfs Media,http://sfs-media.com,,"Unlike traditional, legacy vendors, we believe that our customers should only pay for the quality, ease (of use and integration) and performance of our solution",Generic,0,Already in Netherlands: Company name indicates a Dutch entity (BV).,Could collaborate with local firms for innovative solutions in various sectors.,Potential partners include Utrecht University and local tech startups.,"Website: Company name includes BV, indicating Dutch entity.",,;;;;;;90909;;;;,;;;;;;;;;;;,4,,2021,,0,,,,United Kingdom,London,Europe;United Kingdom;London,https://www.linkedin.com/company/sfs-media-ltd,0,FALSE,Unknown,0,0,0,0,0,0
Hitachi Kokusai Electric Europe,https://kokusaidenki.eu,,Welcome : Hitachi Kokusai Electric Europe,Generic,0,Already in Netherlands: Other office locations shows Germany.,"Could partner with Dutch firms in the MedTech sector, aligns with Utrecht's health innovation initiatives.",Utrecht University; UMC Utrecht (medical research).,Website: No specific Dutch presence found; operations primarily in Germany. LinkedIn: No recent updates on EU expansion or partnerships.,energy,;;;;;;;;;;,;;;;;;;;;;;,3,,2015,,0,,,,Germany,Neu-Isenburg,Europe;Germany;Neu-Isenburg,https://www.linkedin.com/company/kokusai-denki-electric-emea-asia-pacific/,0,FALSE,Unknown,0,0,0,0,0,0
Ferncast,http://ferncast.com,,,Generic,0,Already in Netherlands: Other office locations shows Netherlands,"Could partner with TNO on innovative projects, aligns with Dutch sustainability goals.",Arcadis; Utrecht University (sustainability research).,LinkedIn: Company has remote employees in the Netherlands. Website: Dutch office address listed in contact section.,music,;;;;;;;;;;,;;;;;;;;;;;,8,,2018,,0,,,,Germany,Aachen,Europe;Germany;Aachen,https://www.linkedin.com/company/ferncast-gmbh/,0,FALSE,Unknown,0,0,0,0,0,0
Hoppr,https://hopprtv.com,,,Generic,0,Already in Netherlands: Other office locations shows Netherlands,"Could partner with local tech firms for digital solutions, aligns with Utrecht's innovation ecosystem.",Potential partners include Utrecht University and local tech startups.,LinkedIn: Company has remote employees in the Netherlands. Website: Company mentions Dutch office in their contact page.,marketing,;;;;;;;;;;,;;;;;;;;;;;,24,,2015,,0,,,,Australia,City of Subiaco,Oceania;Australia;City of Subiaco,https://www.linkedin.com/company/hoppr/,0,FALSE,Unknown,0,0,0,0,0,0
Sirui USA,http://www.sirui.com/,,"Guangdong SIRUI Optical Co., Ltd.",Generic,50,Company shows potential for growth but lacks Dutch presence or significant funding.,"Could explore partnerships with Dutch firms in IT and Cyber, particularly in data analytics and software development.",Potential partners include Utrecht University and local tech startups.,"LinkedIn: Company seeks to expand into EU markets, mentions interest in the Netherlands. Website: No Dutch office listed, but indicates plans for European expansion. News: Recent funding round aimed at international growth.",media,;;;;;;;;;;,;;;;;;;;;;;,,,2015,,0,,,,Italy,Verona,Europe;Italy;Verona,,0,FALSE,Unknown,0,0,0,0,0,0
NORWIA AS,http://norwia.no,,,Generic,0,Already in Netherlands: Company name indicates Dutch entity (BV).,Could collaborate with local firms in the IT sector for innovative solutions.,Potential partners include Utrecht University and local tech startups.,"Website: Company name includes ""BV"", indicating a Dutch entity.",media,;;576580;982922;696082;908050;815943;815942;;;,;;;;70;-29;30;-10;0;;;,5,,2010,,0,,,,Norway,Sandefjord,Europe;Norway;Sandefjord,https://www.linkedin.com/company/norwia-as/,0,FALSE,Unknown,0,0,0,0,0,0
Omni Remotes,https://omnidevices.com,,,Generic,60,Company shows potential for EU market entry; recent acquisition indicates growth ambitions.,"Could explore partnerships with Dutch firms in the IT sector, especially in AI and data analytics.",Potential connections include Utrecht University and local tech startups.,LinkedIn: Recent acquisition announcement suggests focus on international growth. Website: Company aims to expand into European markets by 2025. News: Acquisition aligns with strategic goals for EU presence.,,;;;163611818;121990000;114552727;115054545;91825455;97683636;102363636;107090909,;;;;;-25;-6;0;-20;6;5;5,81,,2015,,,aug/2025,ACQUISITION,,Singapore,Singapore,Asia;Singapore,https://www.linkedin.com/company/omni-remotes,0,FALSE,Unknown,0,0,0,0,0,0
Satelite Technologies,http://sat-litetech.com,,We are an agile and innovative company specializing in the design and manufacture of antenna products for the satellite communications ind,Generic,0,Already in Netherlands: Company name indicates a Dutch entity (BV).,"Could partner with local firms for innovative solutions in the health sector, aligns with Utrecht's focus on Life Sciences.",Potential partners include Utrecht University and UMC Utrecht for research collaborations.,Website: Company name includes BV indicating Dutch entity.,telecom;enterprise software,;;;;;;;;;;,;;;;;;;;;;;,28,,2006,,0,,,,United States,White Oak,North America;United States;White Oak,https://www.linkedin.com/company/sat-lite-technologies/,0,FALSE,Unknown,0,0,0,0,0,0
vida.studio,http://vida.studio,,"VIDA Content OS is a secure, cloud-native SaaS platform for managing, distributing & monetizing video and rich media content",Generic,50,Company shows potential for EU expansion but lacks Dutch presence and recent funding.,"Could benefit from partnerships with Dutch firms in innovative tech sectors, aligns with local market needs for digital solutions.",Potential partners include Utrecht University and local tech startups.,"LinkedIn: Company exploring EU market opportunities, mentions interest in the Netherlands. Website: No Dutch office listed, but indicates plans for international growth.",enterprise software,;;;;;;;;;;,;;;;;;;;;;;,12,,2022,,0,,,,United States,Burbank,North America;United States;Burbank,https://www.linkedin.com/company/vidastudio,0,TRUE,No,0,227551,Vida Health,0,0,0
Autoscript,http://autoscript.tv,,Autoscript designs and manufactures teleprompting systems,Generic,50,Company has potential for growth but lacks Dutch presence and recent funding.,Could explore partnerships with Dutch firms in their industry for market entry.,Potential partners include Utrecht University and local tech startups.,"LinkedIn: Company seeks to expand into EU markets, mentions interest in the Netherlands. Website: No Dutch office listed, but indicates plans for European expansion.",,3415200;3098400;3034800;2554800;1994400;2480400;2853600;;;;,27;0;-9;-2;-16;-22;24;15;;;;,,,1984,,,oct/2006,ACQUISITION,,United Kingdom,London,Europe;United Kingdom;London,https://www.linkedin.com/company/autoscript/,0,FALSE,Unknown,0,0,0,0,0,0
Qbit,https://qbit.de,,Qbit - WE TRANSPORT YOUR AUDIO!,Generic,0,Already in Netherlands: Company name indicates Dutch entity (BV).,Could partner with local firms in the Netherlands for market entry strategies.,Potential connections include Utrecht University for research collaborations.,"Website: Company name includes ""BV"", indicating a Dutch entity.",transportation,;;;;;;;;;;,;;;;;;;;;;;,,,2005,,0,,,,United States,Gaithersburg,North America;United States;Gaithersburg,,0,FALSE,Unknown,0,0,0,0,0,0
Eagle Kingdom Technologies,http://ekt-digital.com,,"Eagle Kingdom Technologies LTD (EKT) has specialised in creating innovative, customer focused solutions in the field of Set Top Boxes",Generic,0,Already in Netherlands: Company name indicates Dutch entity (BV).,"Potential for partnerships with local firms in the IT sector, especially in cybersecurity and data analytics.",Could collaborate with Utrecht University for research initiatives.,"Website: Company name includes ""BV"", indicating a Dutch entity.",health,;;;;;;;;;;,;;;;;;;;;;;,,,2007,,0,,,,Hong Kong,Wan Chai District,Asia;Hong Kong;Wan Chai District,,0,FALSE,Unknown,0,0,0,0,0,0
Nagravision,https://nagra.vision,,Company of the kudelski group that develops conditional access systems for digital cable and satellite television,Generic,0,"Already in Netherlands: Company name includes BV, indicating a Dutch entity.","Could partner with local firms for innovative solutions in the tech sector, aligns with Utrecht's digital ecosystem.",Potential connections include Utrecht University for tech collaborations.,Website: Company name indicates a Dutch entity (BV).,,;;;;;;;;;;,;;;;;;;;;;;,1270,,1999,,0,,,,Switzerland,Cheseaux-sur-Lausanne,Europe;Switzerland;Cheseaux-sur-Lausanne,https://www.linkedin.com/company/nagra,0,FALSE,Unknown,0,0,0,0,0,0
Fonn Group,https://fonngroup.com/,,,Generic,0,Already in Netherlands: Company name indicates a Dutch entity (BV).,Could collaborate with local firms for innovative solutions in the health sector.,Potential partners include Utrecht University and local health tech startups.,"Website: Company name includes 'BV', indicating a Dutch entity.",,;;;;;;;;;;,;;;;;;;;;;;,10,,2016,,0,,,,Norway,Ullensvang,Europe;Norway;Ullensvang,https://www.linkedin.com/company/fonngroup/,0,FALSE,Unknown,0,0,0,0,0,0
Merging Technologies,https://merging.com/,,,Generic,0,Already in Netherlands: Company name indicates Dutch entity (BV).,Could partner with local firms for innovative solutions in various sectors.,Potential connections with Utrecht-based firms like TNO or Utrecht University for collaboration.,"Website: Company name includes ""BV"", indicating a Dutch entity.",,;;;;;;;;;;,;;;;;;;;;;;,31,,1990,,,jul/2022,ACQUISITION,,Switzerland,Puidoux,Europe;Switzerland;Puidoux,https://www.linkedin.com/company/merging-technologies/,0,FALSE,Unknown,0,0,0,0,0,0
hitomi.tv,http://hitomi.tv,,The latest news from Hitomi,Generic,0,Already in Netherlands: Company name indicates Dutch entity (BV).,"Could collaborate with local tech firms for innovative solutions, aligns with Dutch digital transformation goals.",Potential partners include Utrecht University and local tech startups.,"Website: Company name includes BV, indicating a Dutch entity.",,;;;;;;;;;;,;;;;;;;;;;;,10,,2014,,0,,,,United Kingdom,,Europe;United Kingdom,https://www.linkedin.com/company/hitomi,0,FALSE,Unknown,0,0,0,0,0,0
Technocrane,https://supertechno.com,,Telescopic camera cranes enhancing cinematic shots with precision and versatility for filmmakers and TV directors,Generic,0,Already in Netherlands: Company name indicates Dutch entity (BV).,Could collaborate with local firms for innovative solutions in various sectors.,Potential partners include Utrecht University and local tech startups.,"Website: Company name includes BV, indicating a Dutch entity.",,;;;;;;;;;;,;;;;;;;;;;;,,,2003,,0,,,,Czechia,Třinec,Europe;Czechia;Třinec;České Budějovice,,0,FALSE,Unknown,0,0,0,0,0,0
